userid,username,sentiment,friends,follwers
,Abdul,negative,['788958'],
,AIPSN,neutral,"['31288536', '14592723', '39775436', '18679867', '1769551', '1355682828', '2230058976', '437804849', '84684955', '574801561', '20272531', '879161563', '32463503', '1952687966']",
,Abbas,negative,"['16736293', '6915662']",
,Aashay,neutral,"['4002147832', '1471400110668009476', '1442556256221220875', '1379093259776110595', '1445962727415971841', '18429921', '1487539826702401537', '1482140323132362753', '29873662', '1425841039135346696', '636513296', '1285150132644859904', '562602850', '2589561121', '14285074', '1483147389255000064', '1443222426586861580', '1485547244505874432', '1456367471896809472', '1478907585935904768', '1446296349759008772', '1437657016852353025', '1468963240126271489', '1479612885949194244', '1243470638477697024', '1369353035026214915', '863265441136885760', '70752583', '59393746', '2750993535', '175624200', '1375179591757668352', '1327349932139962371', '1049681298233675776', '2516844961', '874609260121993216', '2263467936', '2263452746', '2263437272', '746500986638901248', '2361631088', '2398137084', '760345658', '41131951', '4838782096', '2478067758', '2802202266', '3281817403', '26599573', '966313003099590656', '3118936070', '203226820', '362523555', '309366491', '27195114', '214201922', '40245758', '11348282', '13298072', '2735591', '2735591', '14652182', '2374780429', '574032254', '720487892670410753', '2555176531', '3278906401', '49846046', '15237856', '14683495', '106646062', '3601336460', '714817102776045568', '2189991', '14130366', '299883101', '14093707', '416474386', '1531669496', '20097362', '15984500', '31173438', '399695036', '21954529', '27694092', '770770027', '126883049', '1305940272', '175187944', '1265037073', '2302642075', '21277824', '90672134', '249576349', '562674659', '819797', '7239282', '56768257', '2227275901', '74717354', '1311310196', '40614452', '158229670', '16942014', '21718006', '361517406', '2482964466', '1912923302', '3021831', '44039298', '15485441', '28406270', '30488144', '232035209', '2413531399', '7463152', '605804404', '574885641', '20491095', '276254736', '74789657', '344642356', '41982514', '20107559', '111417386', '20770131', '14225267', '914061', '618480916', '2153504832', '581900552', '15375030', '17929328', '45297280', '75605105', '348219786', '14149684', '94219825', '545666193', '18150933', '1402111', '1447322226', '14184802', '1465842636', '19788525', '43833516', '1447554950', '42124409', '617914327', '21086501', '18776605', '186154646', '18648265', '5576542', '19382657', '358443628', '111492860', '9162442', '17429317', '18927861', '16731785', '18748260', '19135819', '558381141', '365283906', '272161437', '6759002', '745273', '34743251', '526642819', '26330898', '811350', '15473958', '4519121', '581812445', '34072375', '34094751', '85761083', '28178766', '17482791', '36803580', '44196397', '32400089', '432272746', '14862065', '22640646', '29922312', '3300', '6161062', '15914078', '96179351', '284407875', '16935016', '93303956', '28583197', '20778387', '15184804', '586', '2609391', '15089988', '11167502', '15430619', '10257182', '1595281', '319976657', '16116812', '14294809', '713263', '15088379', '7189832', '7179142', '36239886', '20167374', '15094560', '159616296', '14558848', '254873442', '66069511', '17816729', '122863082', '215150693', '179339999', '14161459', '19081001', '18948541', '54268454', '36361797', '93017945', '119380023', '111136741', '26044967', '86366422', '30359387', '50393960', '33081245', '104037468', '102763584', '47667972', '14837453', '17499610', '20176548', '61543664', '34443606', '49358392', '76943508', '14151807', '14427835', '65928880', '25678754', '5796972', '14002042', '36152866', '35016092', '22589992', '21069651', '24024778', '28631211', '28619089', '15555908', '11388132', '23880619', '19686788', '17594530', '16573941', '7282592', '618593', '17907321', '17430220', '17966325', '14755536', '17912511', '17560001', '17220934', '14749606', '15267658', '15457242', '15640533', '15234407', '1000591', '15191158', '14861285', '14306572', '14813320', '989', '14506200', '11620792', '11183422', '12924742', '14464798', '14278777', '14221514', '14217429', '14213767', '816653', '657863', '13986742', '13978962', '13973182', '12951932']",
,APoliticalView,neutral,['69289287'],
,ASHOK,neutral,['69289287'],
,268Weather,neutral,"['1115972768296837121', '542793644', '121140947', '307455522', '49062175', '1009776657362800640', '3084293260', '972812605', '94119095', '802356409', '74394857', '912858588', '30758343', '1069443300346773512', '1042770985898967040', '2870953361', '1058818656346484736', '601031921', '1002163267895250945', '509063626', '631777885', '125153534', '1068065041', '928622955634024448', '373373336', '3045065963', '3001660079', '813286', '253515688', '360844323', '724473', '19658826', '17471979', '14647570', '326211570', '552985513', '36711678', '2711909377', '78385211', '14749606', '15862891', '3047677737', '2804343163', '1433185729', '21388284', '4331333415', '15337829', '299669757', '30858871', '16544818', '246560945', '76508287', '68484306', '634818285', '80338450', '2584426843', '861773436', '1920320712', '144688415', '385068086', '308258036', '2846189227', '2846147642', '2846058853', '202890266', '273223527', '1457245183', '21337411', '119782567', '18883998', '28657802', '1586934894', '132615314', '1850116758', '1485433387', '2534043648', '400989826', '242439494', '17874544', '1470498079', '2453732882', '58203491', '90721862', '342130924', '15309804', '74725264', '513855040', '15463610', '108408529', '45670812', '57341938', '343267635', '575231861', '840233028', '313866825', '14559745', '15012486', '14050550', '456864723', '63485333', '367607641', '74801995', '19402238', '31439308', '27596259', '147401413', '1435461', '2149926906', '365159348', '68998562', '1115311422', '297563101', '779049289', '227143121', '248795646', '632670118', '308429376', '901193390', '916735110', '14661779', '825806533', '192942213', '38146999', '329865729', '619247259', '761626358', '590255933', '20031296', '386631799', '102448827', '20998647', '62780688', '94399647', '19993545', '584368982', '21486042', '57340707', '403539516', '16229491', '24886900', '271764242', '14471487', '17220934', '115502595', '50294165', '68676678', '200059931', '314227065', '16669075', '143063931', '19282280', '156656947', '30028674', '45885508', '376762893', '39668597', '14342564', '83216131', '63229914', '10266302', '21628766', '37038885', '245347457', '16143516', '166231881', '25503735', '16417622', '16878156', '17463923', '113062227', '18736652', '14505838', '11348282', '16245822', '26003862', '36406535', '162610656', '299798272', '66995701']",
